"","listing_id","id","date","reviewer_id","reviewer_name","comments","city"
"1",16427420,321027819,2018-09-09,114415482,"Dani","Awesome projector. Traditional Boston experience, with a great location!","Boston"
"2",14731382,333021016,2018-10-06,163837162,"Gilles","nice appartment and location is perfect!","Boston"
"3",6908525,262632507,2018-05-09,8003721,"Peter","Responsive management , Great location and value for the money","Boston"
"4",20960666,338782702,2018-10-20,83107030,"Elizabeth","It was a very clean room in a great location. I had a very pleasant stay.","Boston"
"5",25904410,326571266,2018-09-22,191383952,"Christina","We were told a week before arrival to go to a different address, which was fine. However, the place didn't look clean and was not slightly better than the original address as stated by Matthew. Keys were not in lockbox at the time of check-in (5pm). Was told the previous guests took the keys home with them and Matthew would bring us the keys after work. However, he wasn't communicative about when that would be so we were out a longer time than intended. WiFi didn't work during the stay and we told him about it. Body wash was watered down and there was no extra. The apartment itself didn't feel private because there was a balcony connecting the windows and there was no curtains. The location was good. Other than the body wash, the rest of the amenities were decent. Not worth it for the price though.","Boston"
"6",14936017,275714517,2018-06-11,180365817,"Alexandria","Rhiannon's place was adorable, clean, and convenient to the airport and downtown! I would definitely stay here again!","Boston"
"7",7965521,343454485,2018-10-31,211344731,"Chris","Just as advertised and a great value!  It is a ground floor unit with windows onto the street, just FYI in case that is an issue for anyone.","Boston"
"8",7693354,321946692,2018-09-11,208185016,"Delphine","Liza was a wonderful host!
Everything was clean and the room was comfy, the place is close to the red line and easy to find. We really enjoyed our stay (+ the cat is lovely)","Boston"
"9",14474750,301144085,2018-08-03,36923306,"Federico","Casa molto bella ed elegante, ben attrezzata e provvista di tutto, sita in un tranquillo quartiere residenziale di Boston. La stazione della metro (Green Street) non è vicinissima (circa 20 - 25 minuti a piedi), mentre più vicino ci sono le fermate dell'autobus. Jeff è molto cordiale e celere nel rispondere. Un po' calde le stanze, soprattutto quella sulla sinistra delle scale, nonostante il ventilatore. Straconsigliata, specialmente in primavera/autunno.","Boston"
"10",13032590,335925426,2018-10-13,165872833,"Teresa","Wonderful host- great place.  Highly recommend!","Boston"
"11",23567927,317117188,2018-09-01,11013431,"Aim","We came with a family of 5, all age ranges and we really did enjoy our stay here. The place is huge, very clean, all beds (including the sofa bed) really comfortable with good linens. Large kitchen and bathrooms. My toddler who normally doesn't stay much indoor was able to hang out inside all day with his grandparents while I was at work. Good neighborhood with a corner store, microbrewery, coffee shop and playground. We never stayed in JP before and enjoyed it. It feels really local. All the communication was easy and prompt. Affordable given the size and proximity to downtown. Will definitely come back","Boston"
