"","source","target","Edge Weight"
"1","MN2NOVA","RedAlert",1
"2","k_c_hickey","WeRWisconsin",1
"3","k_c_hickey","DefendWisconsin",1
"4","k_c_hickey","wisaflcio",1
"5","k_c_hickey","bluecheddar1",1
"6","k_c_hickey","erictheteamster",1
"7","k_c_hickey","MahlonMitchell",1
"8","bluecheddar1","k_c_hickey",1
"9","wiswxman","JohnJagler",1
"10","Muxywithmoxie","fitzengr",1
"11","bluecheddar1","fitzengr",1
"12","fitzengr","DefendWisconsin",1
"13","fitzengr","legaleagle",1
"14","fitzengr","cr8f",1
"15","fitzengr","bluecheddar1",1
"16","fitzengr","saragoldrickrab",1
"17","fitzengr","news3jessica",1
"18","fitzengr","Mayzee590",1
"19","fitzengr","robzerban",1
"20","fitzengr","wisaflcio",1
"21","fitzengr","sjzep",1
"22","fitzengr","Gamblndan",1
"23","fitzengr","opticaldensity",1
"24","fitzengr","MadPolitics",1
"25","fitzengr","Muxywithmoxie",1
"26","fitzengr","MahlonMitchell",1
"27","fitzengr","WeRWisconsin",1
"28","fitzengr","Cops4Labor",1
"29","fitzengr","prwatch",1
"30","fitzengr","wi_defender",1
"31","MadPolitics","fitzengr",1
"32","saltsafe","AndrewKroll",1
"33","saltsafe","prwatch",1
"34","saltsafe","jimwitkins",1
"35","saltsafe","wisaflcio",1
"36","saltsafe","DefendWisconsin",1
"37","WeRWisconsin","tgamboalocal112",1
"38","tgamboalocal112","MahlonMitchell",1
"39","tgamboalocal112","WeRWisconsin",1
"40","WeRWisconsin","aftlocal212",1
"41","aftlocal212","WeRWisconsin",1
"42","aftlocal212","MahlonMitchell",1
"43","shivabeach","obamaB0T",1
"44","AFTNJ","AFTunion",1
"45","TreesOfHopeWI","MacIverWisc",1
"46","TreesOfHopeWI","TODAYSTMJ4",1
"47","TreesOfHopeWI","BadgerNative",1
"48","TreesOfHopeWI","SEWisconsnPatch",1
"49","Progress2day","themikehanson",1
"50","themikehanson","bluecheddar1",1
"51","themikehanson","TheTrollRoller",1
"52","themikehanson","PolitiScoop",1
"53","themikehanson","Progress2day",1
"54","themikehanson","UnitedWisconsin",1
"55","themikehanson","babaoreilymike",1
"56","ThunderstrikeYA","UnitedWisconsin",1
"57","jgrouch101","AngryBlackLady",1
"58","txmattie","cliffbaker9",1
"59","LiberallyJan","cliffbaker9",1
"60","stefsstuff","cliffbaker9",1
"61","LCranston1939","cliffbaker9",1
"62","cliffbaker9","Salon",1
"63","cliffbaker9","LCranston1939",1
"64","cliffbaker9","TheDailyEdge",1
"65","cliffbaker9","AFTunion",1
"66","cliffbaker9","MahlonMitchell",1
"67","cliffbaker9","txmattie",1
"68","cliffbaker9","ak2sandiego",1
"69","TheDailyEdge","cliffbaker9",1
"70","RafalcaRomney","mykatmikey",1
"71","mykatmikey","Salon",1
"72","mykatmikey","RayBeckerman",1
"73","mykatmikey","WIProud",1
"74","mykatmikey","TheDailyEdge",1
"75","mykatmikey","LCranston1939",1
"76","LCranston1939","mykatmikey",1
"77","TheDailyEdge","mykatmikey",1
"78","barbkandy","LtlRedX",1
"79","barbkandy","TheDailyEdge",1
"80","barbkandy","ToConservatives",1
"81","LtlRedX","barbkandy",1
"82","ToConservatives","barbkandy",1
"83","TheDailyEdge","barbkandy",1
"84","adjordan","King_Gonad",1
"85","King_Gonad","AngryBlackLady",1
"86","AngryBlackLady","King_Gonad",1
"87","TheDailyEdge","King_Gonad",1
"88","Progress2day","gotdem",1
"89","WeRWisconsin","gotdem",1
"90","gotdem","WeRWisconsin",1
"91","gotdem","PolitiScoop",1
"92","gotdem","prwatch",1
"93","gotdem","Progress2day",1
"94","gotdem","theonlyadult",1
"95","gotdem","AngryBlackLady",1
"96","wisaflcio","gotdem",1
"97","adjordan","gotdem",1
"98","TheDailyEdge","gotdem",1
"99","TheDailyEdge","Legalwarrior",1
"100","sellwithmarcy","WeRWisconsin",1
"101","sellwithmarcy","AngryBlackLady",1
"102","sellwithmarcy","robzerban",1
"103","sellwithmarcy","CoffeeBean26",1
"104","sellwithmarcy","UnitedWisconsin",1
"105","sellwithmarcy","TheDailyEdge",1
"106","sellwithmarcy","Valerie0714",1
"107","sellwithmarcy","Notjustjazz",1
"108","TheDailyEdge","sellwithmarcy",1
"109","DefeatVos","LeftyRosie",1
"110","TheDailyEdge","LeftyRosie",1
"111","richnpolly","AngryBlackLady",1
"112","TheDailyEdge","richnpolly",1
"113","stefsstuff","docholly",1
"114","bluecheddar1","docholly",1
"115","AlwaysThinkHow","docholly",1
"116","AngryBlackLady","docholly",1
"117","TheDailyEdge","docholly",1
"118","docholly","bluecheddar1",1
"119","docholly","stefsstuff",1
"120","docholly","SpudLovr",1
"121","docholly","AngryBlackLady",1
"122","docholly","TheDailyEdge",1
"123","docholly","AlwaysThinkHow",1
"124","ChanKoonNgok","ToConservatives",1
"125","ChanKoonNgok","Twitlertwit",1
"126","ChanKoonNgok","jakecovo",1
"127","ChanKoonNgok","Our4thEstate",1
"128","ChanKoonNgok","Salon",1
"129","ChanKoonNgok","cyn3matic",1
"130","ChanKoonNgok","TheDailyEdge",1
"131","ChanKoonNgok","kasinca",1
"132","Our4thEstate","ChanKoonNgok",1
"133","ToConservatives","ChanKoonNgok",1
"134","TheDailyEdge","ChanKoonNgok",1
"135","jakecovo","ChanKoonNgok",1
"136","johnnyreb1864","WI4Palin",1
"137","johnnyreb1864","TheDailyEdge",1
"138","johnnyreb1864","terry_vaughn",1
"139","GomerWHoward","keshenawarrior",1
"140","bluecheddar1","keshenawarrior",1
"141","wisaflcio","keshenawarrior",1
"142","keshenawarrior","Salon",1
"143","keshenawarrior","wisaflcio",1
"144","keshenawarrior","DefendWisconsin",1
"145","keshenawarrior","educator4WI",1
"146","keshenawarrior","katierosenberg",1
"147","keshenawarrior","WeRWisconsin",1
"148","keshenawarrior","bluecheddar1",1
"149","keshenawarrior","GomerWHoward",1
"150","keshenawarrior","MahlonMitchell",1
"151","keshenawarrior","Twitlertwit",1
"152","keshenawarrior","frogetteca",1
"153","keshenawarrior","pbtrue1",1
"154","wijim500","exodus_2011",1
"155","exodus_2011","AmyKremer",1
"156","exodus_2011","gary4205",1
"157","exodus_2011","WI4Palin",1
"158","AmyKremer","exodus_2011",1
"159","Twin66","exodus_2011",1
"160","WeRWisconsin","cbeaux",1
"161","jenhull","cbeaux",1
"162","wisaflcio","cbeaux",1
"163","TheDailyEdge","cbeaux",1
"164","cbeaux","WeRWisconsin",1
"165","cbeaux","wisaflcio",1
"166","cbeaux","jenhull",1
"167","Progress2day","occupyRiverwest",1
"168","superbranch","occupyRiverwest",1
"169","HarryWaisbren","occupyRiverwest",1
"170","occupyRiverwest","HarryWaisbren",1
"171","occupyRiverwest","superbranch",1
"172","occupyRiverwest","OLBLightBrigade",1
"173","occupyRiverwest","UnitedWisconsin",1
"174","occupyRiverwest","Progress2day",1
"175","occupyRiverwest","theadingo",1
"176","occupyRiverwest","jasiri_x",1
"177","occupyRiverwest","TomAdler",1
"178","OLBLightBrigade","occupyRiverwest",1
"179","AmericanAwaken","occupyRiverwest",1
"180","CarterFliptMe","skew11",1
"181","skew11","AmyKremer",1
"182","skew11","RedAlert",1
"183","skew11","JoeWierzbicki",1
"184","AmyKremer","skew11",1
"185","tonykatz","skew11",1
"186","TomLavinNH","historyapollo",1
"187","historyapollo","bluecheddar1",1
"188","historyapollo","UnitedWisconsin",1
"189","historyapollo","wisaflcio",1
"190","historyapollo","WeRWisconsin",1
"191","historyapollo","unkybunky",1
"192","historyapollo","TomLavinNH",1
"193","bluecheddar1","hattieknuff",1
"194","hattieknuff","Salon",1
"195","hattieknuff","bluecheddar1",1
"196","hattieknuff","prwatch",1
"197","CarterFliptMe","MartitaO",1
"198","John_Monahan","MartitaO",1
"199","MartitaO","John_Monahan",1
"200","MartitaO","CarterFliptMe",1
"201","MartitaO","SpiritOfMadison",1
"202","Progress2day","james_bkelly",1
"203","Muxywithmoxie","james_bkelly",1
"204","SpudLovr","james_bkelly",1
"205","james_bkelly","WeRWisconsin",1
"206","james_bkelly","polymath22",1
"207","james_bkelly","sjzep",1
"208","james_bkelly","SpudLovr",1
"209","james_bkelly","unkybunky",1
"210","james_bkelly","DefendWisconsin",1
"211","james_bkelly","bluecheddar1",1
"212","james_bkelly","rossacrosswi",1
"213","james_bkelly","MahlonMitchell",1
"214","james_bkelly","Cog_Dis",1
"215","james_bkelly","Muxywithmoxie",1
"216","james_bkelly","JaxonBrow",1
"217","james_bkelly","MaryErpenbach",1
"218","james_bkelly","Progress2day",1
"219","james_bkelly","DefeatVos",1
"220","james_bkelly","jimwitkins",1
"221","james_bkelly","wi_defender",1
"222","DefeatVos","james_bkelly",1
"223","unkybunky","james_bkelly",1
"224","polymath22","james_bkelly",1
"225","bluecheddar1","your_neighbors",1
"226","SpudLovr","your_neighbors",1
"227","nedmiller","your_neighbors",1
"228","swell","your_neighbors",1
"229","unkybunky","your_neighbors",1
"230","your_neighbors","MaryErpenbach",1
"231","your_neighbors","SpudLovr",1
"232","your_neighbors","bluecheddar1",1
"233","your_neighbors","polymath22",1
"234","polymath22","your_neighbors",1
"235","walymury","MollyZilla",1
"236","legaleagle","MollyZilla",1
"237","polymath22","MollyZilla",1
"238","iluvpirates66","PolitiScoop",1
"239","iluvpirates66","sjzep",1
"240","iluvpirates66","UnitedWisconsin",1
"241","iluvpirates66","wi_defender",1
"242","iluvpirates66","polymath22",1
"243","iluvpirates66","Cops4Labor",1
"244","polymath22","iluvpirates66",1
"245","RacineTEAParty","starrick1",1
"246","starrick1","RacineTEAParty",1
"247","UniqueName099","starrick1",1
"248","HistoryL0v3r","peterflom",1
"249","HistoryL0v3r","UnitedWisconsin",1
"250","peterflom","HistoryL0v3r",1
"251","Progress2day","allwithhope",1
"252","WeRWisconsin","allwithhope",1
"253","grayner","allwithhope",1
"254","pepsibaby_04","allwithhope",1
"255","allwithhope","pepsibaby_04",1
"256","allwithhope","The_Anti_Fox",1
"257","allwithhope","grayner",1
"258","allwithhope","AlwaysThinkHow",1
"259","allwithhope","AndrewKroll",1
"260","allwithhope","LPMercer",1
"261","allwithhope","peterflom",1
"262","allwithhope","DefendWisconsin",1
"263","allwithhope","UnitedWisconsin",1
"264","allwithhope","wisaflcio",1
"265","allwithhope","WeRWisconsin",1
"266","allwithhope","WIProud",1
"267","allwithhope","Progress2day",1
"268","yiawda","PoliticalEditor",1
"269","WORLD_KIDS","PoliticalEditor",1
"270","AmyKremer","RitaGraceTP",1
"271","RitaGraceTP","Jarjarbug",1
"272","RitaGraceTP","AmyKremer",1
"273","RitaGraceTP","BadgerNative",1
"274","WrenKeturi","PolitiScoop",1
"275","WrenKeturi","AFTunion",1
"276","WrenKeturi","wisaflcio",1
