"user","user_id"
"nntaleb","x1076128371778748422"
"nntaleb","x2832261790"
"nntaleb","x908703686729269249"
"nntaleb","x18658924"
"nntaleb","x1059768192862584832"
"nntaleb","x13350"
"nntaleb","x1013028417418268672"
"nntaleb","x770142872343633924"
"nntaleb","x1318688696"
"nntaleb","x966732224207998983"
"nntaleb","x37450324"
"nntaleb","x786749742927769600"
"nntaleb","x718494710558507008"
"nntaleb","x1066547928"
"nntaleb","x780557598089109504"
"nntaleb","x298962119"
"nntaleb","x1080151136529801221"
"nntaleb","x952364011"
"nntaleb","x3294634335"
"nntaleb","x16248719"
"nntaleb","x97901597"
"nntaleb","x370879693"
"nntaleb","x18204430"
"nntaleb","x3377501883"
"nntaleb","x996923362386546694"
"nntaleb","x867228780"
"nntaleb","x4361660242"
"nntaleb","x38271276"
"nntaleb","x586725000"
"nntaleb","x2463810206"
"nntaleb","x999470034"
"nntaleb","x719024310468280320"
"nntaleb","x1072840499030052865"
"nntaleb","x962763488778211329"
"nntaleb","x20245047"
"nntaleb","x21764525"
"nntaleb","x4391857633"
"nntaleb","x799314541108719616"
"nntaleb","x20995027"
"nntaleb","x1059837918955610113"
"nntaleb","x954978709513080832"
"nntaleb","x779335140124323840"
"nntaleb","x3170789214"
"nntaleb","x23188724"
"nntaleb","x14504859"
"nntaleb","x2651098867"
"nntaleb","x359188534"
"nntaleb","x555239997"
"nntaleb","x1029006898002046976"
"nntaleb","x30839281"
"nntaleb","x77437422"
"nntaleb","x89717709"
"nntaleb","x2451979687"
"nntaleb","x131991214"
"nntaleb","x618465476"
"nntaleb","x115516504"
"nntaleb","x2530947115"
"nntaleb","x128372940"
"nntaleb","x573301170"
"nntaleb","x827723382"
"nntaleb","x426457443"
"nntaleb","x122702978"
"nntaleb","x17407207"
"nntaleb","x14184699"
"nntaleb","x47646735"
"nntaleb","x1039175401367425024"
"nntaleb","x4052598077"
"nntaleb","x742144802"
"nntaleb","x1050866538243391489"
"nntaleb","x3939448275"
"nntaleb","x504853849"
"nntaleb","x5637562"
"nntaleb","x138304042"
"nntaleb","x1028320535585992710"
"nntaleb","x990317363915579392"
"nntaleb","x18208354"
"nntaleb","x2330587698"
"nntaleb","x4235669063"
"nntaleb","x1028082510213902336"
"nntaleb","x3043567396"
"nntaleb","x29275869"
"nntaleb","x326400624"
"nntaleb","x383951622"
"nntaleb","x95713333"
"nntaleb","x31464977"
"nntaleb","x204375655"
"nntaleb","x907984505109180421"
"nntaleb","x191332087"
"nntaleb","x732500920873803778"
"nntaleb","x1356030014"
"nntaleb","x2914009158"
"nntaleb","x979432495912435712"
"nntaleb","x3313401022"
"nntaleb","x19599446"
"nntaleb","x1023484557595758592"
"nntaleb","x736716258"
"nntaleb","x3227845866"
"nntaleb","x19899980"
"nntaleb","x898537582254010368"
"nntaleb","x120852788"
"nntaleb","x70542941"
"nntaleb","x2410183225"
"nntaleb","x21084314"
"nntaleb","x593041510"
"nntaleb","x389057292"
"nntaleb","x337808606"
"nntaleb","x1027635668267225088"
"nntaleb","x92236327"
"nntaleb","x177489243"
"nntaleb","x857354668128784385"
"nntaleb","x50311636"
"nntaleb","x131172458"
"nntaleb","x861798277"
"nntaleb","x2989481933"
"nntaleb","x1242788624"
"nntaleb","x39641051"
"nntaleb","x1016533762337902592"
"nntaleb","x84653539"
"nntaleb","x911188812"
"nntaleb","x2484257586"
"nntaleb","x1010656401268658176"
"nntaleb","x3188509272"
"nntaleb","x2364445033"
"nntaleb","x2153307457"
"nntaleb","x46721857"
"nntaleb","x2329066872"
"nntaleb","x2740108585"
"nntaleb","x472919004"
"nntaleb","x59585128"
"nntaleb","x2541397107"
"nntaleb","x2192124252"
"nntaleb","x1007276843970564097"
"nntaleb","x1550158765"
"nntaleb","x2937163971"
"nntaleb","x835259554715824129"
"nntaleb","x56575418"
"nntaleb","x967130909500694530"
"nntaleb","x152600792"
"nntaleb","x28351670"
"nntaleb","x1156820016"
"nntaleb","x350449029"
"nntaleb","x994962820872785922"
"nntaleb","x861337914109820933"
"nntaleb","x403299980"
"nntaleb","x946857363574837253"
"nntaleb","x75978805"
"nntaleb","x83814679"
"nntaleb","x996651659458744320"
"nntaleb","x813794033055203328"
"nntaleb","x2316224708"
"nntaleb","x965972058277588992"
"nntaleb","x27716419"
"nntaleb","x302769804"
"nntaleb","x2985466732"
"nntaleb","x908426033505931265"
"nntaleb","x2344061090"
"nntaleb","x464996769"
"nntaleb","x988391679299346432"
"nntaleb","x405605548"
"nntaleb","x2360025931"
"nntaleb","x1209362046"
"nntaleb","x16353245"
"nntaleb","x2313894266"
"nntaleb","x4235943227"
"nntaleb","x2832538341"
"nntaleb","x1694715510"
"nntaleb","x169686021"
"nntaleb","x878247600096509952"
"nntaleb","x521005618"
"nntaleb","x19178168"
"nntaleb","x73306557"
"nntaleb","x39873844"
"nntaleb","x14458643"
"nntaleb","x229638179"
"nntaleb","x7347012"
"nntaleb","x6531902"
"nntaleb","x739133515170729984"
"nntaleb","x213792079"
"nntaleb","x868696943630979072"
"nntaleb","x391534562"
"nntaleb","x1056052934"
"nntaleb","x4258847357"
"nntaleb","x953196782707671040"
"nntaleb","x265606441"
"nntaleb","x41059238"
"nntaleb","x41635583"
"nntaleb","x50095170"
"nntaleb","x44401911"
"nntaleb","x125786583"
"nntaleb","x974828242296328193"
"nntaleb","x331913203"
"nntaleb","x1238155219"
"nntaleb","x21437455"
"nntaleb","x20668369"
"nntaleb","x690823"
"nntaleb","x148303071"
"nntaleb","x2553151"
"nntaleb","x230513829"
"nntaleb","x783388623513288704"
"nntaleb","x279089718"
"nntaleb","x546844316"
"nntaleb","x849223975968309248"
"nntaleb","x242423151"
"nntaleb","x8496762"
"nntaleb","x136743065"
"nntaleb","x2875501614"
"nntaleb","x19952231"
"nntaleb","x886358633646350340"
"nntaleb","x346898657"
"nntaleb","x22413992"
"nntaleb","x885838630928994304"
"nntaleb","x858202708628586496"
"nntaleb","x249028405"
"nntaleb","x40200061"
"nntaleb","x144931441"
"nntaleb","x1138718150"
"nntaleb","x374085775"
"nntaleb","x490789920"
"nntaleb","x840094213"
"nntaleb","x22982074"
"nntaleb","x48605128"
"nntaleb","x632091340"
"nntaleb","x1318611924"
"nntaleb","x945684764996067328"
"nntaleb","x150518936"
"nntaleb","x1410885091"
"nntaleb","x37685331"
"nntaleb","x130557513"
"nntaleb","x412219206"
"nntaleb","x194505099"
"nntaleb","x850763376263299078"
"nntaleb","x809921195361652736"
"nntaleb","x940446146702512128"
"nntaleb","x717335588085567488"
"nntaleb","x348480883"
"nntaleb","x486857409"
"nntaleb","x26088207"
"nntaleb","x48949188"
"nntaleb","x4905990821"
"nntaleb","x910357333494157312"
"nntaleb","x736023117005520897"
"nntaleb","x2337394794"
"nntaleb","x274515797"
"nntaleb","x455660713"
"nntaleb","x19697978"
"nntaleb","x487069442"
"nntaleb","x791112163507044353"
"nntaleb","x166389845"
"nntaleb","x1623424387"
"nntaleb","x236019866"
"nntaleb","x391062323"
"nntaleb","x1155960950"
"nntaleb","x918502148874362880"
"nntaleb","x25058787"
"nntaleb","x746804022061973504"
"nntaleb","x830817082208030722"
"nntaleb","x755976362"
"nntaleb","x2850251396"
"nntaleb","x816677047275765764"
"nntaleb","x51429353"
"nntaleb","x18858920"
"nntaleb","x919245692350156802"
"nntaleb","x47734183"
"nntaleb","x794924857339351040"
"nntaleb","x765618069062422528"
"nntaleb","x4288322237"
"nntaleb","x315049936"
"nntaleb","x956067732"
"nntaleb","x4885277053"
"nntaleb","x237283212"
"nntaleb","x916058367310876672"
"nntaleb","x12"
"nntaleb","x90627994"
"nntaleb","x636607763"
"nntaleb","x22192145"
"nntaleb","x917052395674271745"
"nntaleb","x899742286094979072"
"nntaleb","x19370504"
"nntaleb","x786283647477374976"
"nntaleb","x895647439901917184"
"nntaleb","x1560875191"
"nntaleb","x2243010122"
"nntaleb","x722175966072741888"
"nntaleb","x254280603"
"nntaleb","x62603893"
"nntaleb","x28516356"
"nntaleb","x3407386769"
"nntaleb","x3075558600"
"nntaleb","x98705778"
"nntaleb","x732301433429692416"
"nntaleb","x1078510861"
"nntaleb","x15092020"
"nntaleb","x19782427"
"nntaleb","x274316654"
"nntaleb","x100561492"
"nntaleb","x2733012992"
