"userid","user_display_name","user_screen_name","user_reported_location","user_profile_description","user_profile_url","follower_count","following_count","account_creation_date","account_language"
"GotPdi7ND5U93CiLruCUjAPr0R5af8PkKEZQ9UJHNlE=","GotPdi7ND5U93CiLruCUjAPr0R5af8PkKEZQ9UJHNlE=","GotPdi7ND5U93CiLruCUjAPr0R5af8PkKEZQ9UJHNlE=","","","","7","8","2011-01-08","ru"
"faQv2zTYxLMuS4ozlVw9kM660Vtwti3XfxVgoJBSMJA=","faQv2zTYxLMuS4ozlVw9kM660Vtwti3XfxVgoJBSMJA=","faQv2zTYxLMuS4ozlVw9kM660Vtwti3XfxVgoJBSMJA=","Санкт-Петербург, Россия","Журналист,корреспондент и воинствующий комуняка
VK https://t.co/6CB6Ul67BZ Instagramm https://t.co/2CUvUTqAz2","","2010","1730","2018-01-29","ru"
"U0+7izz8L9D6nVm59ihGm6P9fOgbQQF9gK90+xZhr0=","U0+7izz8L9D6nVm59ihGm6P9fOgbQQF9gK90+xZhr0=","U0+7izz8L9D6nVm59ihGm6P9fOgbQQF9gK90+xZhr0=","","","","3","5","2018-02-21","ru"
"1rJVco1i2kqTr9XIp2G6n5jklStyGfK3DYfYjOSz3Pk=","1rJVco1i2kqTr9XIp2G6n5jklStyGfK3DYfYjOSz3Pk=","1rJVco1i2kqTr9XIp2G6n5jklStyGfK3DYfYjOSz3Pk=","","","","1","0","2017-10-14","ru"
"Wqt0hoxtPyPnCqMhrymUPXKk0+yM8MVewMDM9m9rtAM=","Wqt0hoxtPyPnCqMhrymUPXKk0+yM8MVewMDM9m9rtAM=","Wqt0hoxtPyPnCqMhrymUPXKk0+yM8MVewMDM9m9rtAM=","Хабаровск, Хабаровский край","Учусь)))","","1293","2468","2017-08-21","ru"
"Gvo61Lia1157dH2R6fDb6y0aTORca7Rlos3fGZbiTw=","Gvo61Lia1157dH2R6fDb6y0aTORca7Rlos3fGZbiTw=","Gvo61Lia1157dH2R6fDb6y0aTORca7Rlos3fGZbiTw=","","","","0","0","2020-10-18","en"
"7WTYPcAGruW7ZtKtLorAsQoBkPdRwCt0vtm6931MVE=","7WTYPcAGruW7ZtKtLorAsQoBkPdRwCt0vtm6931MVE=","7WTYPcAGruW7ZtKtLorAsQoBkPdRwCt0vtm6931MVE=","","","","55","169","2020-02-01","ru"
"849852472915046400","Syria Free News","Syria_FreeNews","Syrian Arab Republic","Exclusive information about 
Middle East and Northern Africa countries events. BreaKing news from the scene.","","20505","1663","2017-04-06","ru"
"Y12XxX+oxY++1I8HZTVa1HnrgJ5XjdhkJfhv04pBry4=","Y12XxX+oxY++1I8HZTVa1HnrgJ5XjdhkJfhv04pBry4=","Y12XxX+oxY++1I8HZTVa1HnrgJ5XjdhkJfhv04pBry4=","Уссурийск","Начинающий журналист. Люблю активный отдых и море","","117","445","2017-08-21","ru"
"1lY66yW7i+XL4Fn6wRslwEStbOHd2vNXLSnJMpQjUg8=","1lY66yW7i+XL4Fn6wRslwEStbOHd2vNXLSnJMpQjUg8=","1lY66yW7i+XL4Fn6wRslwEStbOHd2vNXLSnJMpQjUg8=","","defender of goods and the truth","","0","5","2020-03-04","en"
"kbFYDfvkrSRyooMoAgrj47Z3LkU73QAcSi5w4fsYn28=","kbFYDfvkrSRyooMoAgrj47Z3LkU73QAcSi5w4fsYn28=","kbFYDfvkrSRyooMoAgrj47Z3LkU73QAcSi5w4fsYn28=","","","https://t.co/zmzUGvgapu","5","15","2020-08-26","en"
"ozyd4YJzSspaqE6rdCn2CZBHyoeqtvnnPglx3rUiPl8=","ozyd4YJzSspaqE6rdCn2CZBHyoeqtvnnPglx3rUiPl8=","ozyd4YJzSspaqE6rdCn2CZBHyoeqtvnnPglx3rUiPl8=","","","","0","0","2017-03-31","ru"
