"","Account","User Name","Followers at Posting","Post Created","Post Created Date","Post Created Time","Type","Total Interactions","Likes","Comments","Views","Like and View Counts Disabled","URL","Link","Photo","Title","Description","Image Text","Sponsor Id","Sponsor Name","Overperforming Score (weighted  —  Likes 1x Comments 1x )"
"1","Climate Reality","climatereality","330936","2022-10-10 11:45:09 EDT",2022-10-10,42309,"Photo",413,411,2,0,FALSE,"https://www.instagram.com/p/Cjieg-AtbFv/","https://www.instagram.com/p/Cjieg-AtbFv/","https://scontent-sea1-1.cdninstagram.com/v/t51.2885-15/311210839_636278358022652_4559085852877457980_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=za2tFtzkWGwAX99u5Ep&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AT_NN6siFrv_aJkqFZzVIJaqUIM7U-oqKoH7-e4WDJhbxw&oe=6349293A",NA,"Happy Indigenous Peoples’ Day! Today, we honor the important legacy of Indigenous peoples of the United States. We must continue to approach the #ClimateCrisis with a #Decolonization focused mindset. We cannot solve climate change without amplifying the voices of Indigenous leaders. It is important for us to learn and appreciate how we can share their special devotion to our planet.","""We all need the same things: clean air and clean water. We have a lot of work to do, but if we can combine our strengths, we can fight for what's right."" JAKE EDWARDS, ONONDAGA Source..bicly/3DPImK6",NA,NA,-1.48
"2","Climate Reality","climatereality","330975","2022-10-09 10:04:06 EDT",2022-10-09,36246,"Photo",300,297,3,0,FALSE,"https://www.instagram.com/p/CjfuKDHtTbL/","https://www.instagram.com/p/CjfuKDHtTbL/","https://scontent-sea1-1.cdninstagram.com/v/t51.2885-15/310813890_597721615371244_3196330783710526315_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=vl7tb8Gh7SkAX9ciek8&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AT9r9MIhy28121g2gohKPNforGudVH3n3AU83qEqdIgUhg&oe=6349466D",NA,"Exciting news – Climate Reality is hosting our first ever LIVE on Instagram for Hispanic Heritage Month! #RealTalkOnClimate with @queerbrownvegan will cover climate impacts facing the Latine community. Tune in Oct 13 at 4PM EST!","TUNE IN OCTOBER 13 with our special guest 4PM ISAIAS HERNANDEZ AKA @queerbrownvegan to talk all about his work and climate impacts facing the Latine community Happening on Instagram for Hispanic Heritage Month!",NA,NA,-3.35
"3","Climate Reality","climatereality","330999","2022-10-07 20:20:26 EDT",2022-10-07,73226,"Album",163,161,2,0,FALSE,"https://www.instagram.com/p/CjbrGN_qhQA/","https://www.instagram.com/p/CjbrGN_qhQA/","https://scontent-sea1-1.cdninstagram.com/v/t51.2885-15/311208945_1208075639738665_7096175884754053469_n.jpg?_nc_cat=102&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=hOPS3Eb1UXsAX9dGK9-&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AT8YPTSgKzVGy3y4mSZefJHeaHdCq4Mr356eNq2395TQPw&oe=63490E5C",NA,"It's our final #SpotlightonSolutions during this year's #24HoursofReality! We can't thank you all enough for sharing your stories with us. Now that we've taken inspiration, it's time to take action! Ready to join the fight? Visit www.24hoursofreality.org to get involved!",NA,NA,NA,-7.87
"4","Climate Reality","climatereality","330999","2022-10-07 19:22:48 EDT",2022-10-07,69768,"Album",213,211,2,899,FALSE,"https://www.instagram.com/p/CjbkgxVuCcJ/","https://www.instagram.com/p/CjbkgxVuCcJ/","https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/310647005_1192681064923676_8655886703882530443_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=d4ZpFqA_y2sAX9Xw0RT&_nc_oc=AQlrNmGZExUb9NdWqHqIZjdpf7Go7BtTi58xysNLAx33Ojkq7nkClu3HBi849jGBmGQ&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AT-JCXM4O6t6ohBp-4P_OBlhmLLOvRvu-uYJwmODkfWGMg&oe=63481601",NA,"Native species are nature's solution to the #climatecrisis! Check out how these activists are helping nature recover in this #SpotlightonSolutions story. #24HoursofReality",NA,NA,NA,-6.02
"5","Climate Reality","climatereality","330999","2022-10-07 18:40:08 EDT",2022-10-07,67208,"Photo",300,299,1,0,FALSE,"https://www.instagram.com/p/Cjbfnl8qHKM/","https://www.instagram.com/p/Cjbfnl8qHKM/","https://scontent-sea1-1.cdninstagram.com/v/t51.2885-15/310279051_1473933426426443_7113771391518392022_n.jpg?_nc_cat=100&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=y6fyb_srAPUAX-Y_q6V&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AT_ZLnQBo3JP03asDHXA8CPIgws47NmDhbQ_xdPU8SPwJg&oe=6348A925",NA,"There's only a few hours left of #24HoursofReality, but the work's not stopping here! We'll be at #COP27 this November as we keep pushing for climate solutions. Keep watching our channels for important updates, and learn more at https://cop27.eg! #ClimateRealitytoEgypt","24 Hours of Reality is almost over, but our work continues! Climate Reality will shine a #SpotlightonSolutions at COP27. The #ClimateRealitytoEgypt journey begins this November! Stay tuned to our channels to follow along and learn what's to come. Check out cop27.eg to learn more.",NA,NA,-3.82
"6","Climate Reality","climatereality","330999","2022-10-07 18:15:22 EDT",2022-10-07,65722,"Album",316,312,4,0,FALSE,"https://www.instagram.com/p/CjbcyOaqNrH/","https://www.instagram.com/p/CjbcyOaqNrH/","https://scontent-sea1-1.cdninstagram.com/v/t51.2885-15/310845842_1074573549903418_6345983793789511141_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=jYp246Jcq4IAX_UFoa0&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AT-qQAqk1_rKJHyc2jfzjl-oThkjV5BF--fjWEaCUbZWHg&oe=634971A7",NA,"Did you know that plastics are made of fossil fuels? These climate champs are fighting #BigOil to reduce plastic usage in this #SpotlightonSolutions! Read more to learn how you can too. #24HoursofReality",NA,NA,NA,-4.06
"7","Climate Reality","climatereality","330999","2022-10-07 18:00:33 EDT",2022-10-07,64833,"Album",176,176,0,0,FALSE,"https://www.instagram.com/p/CjbbFoLKDyo/","https://www.instagram.com/p/CjbbFoLKDyo/","https://scontent-sea1-1.cdninstagram.com/v/t51.2885-15/310738480_839466210399381_9142188922247094629_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=0MxCo9VrffgAX_b7dzc&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AT8RVNnzd-JwNNKBbttEPLE_oZcDIJkMUU_eWej2DPlXMQ&oe=6349A5D8",NA,"A just transition requires action and unity towards sustainability for all. Our Just Transition global dialogue kicked off with amazing changemakers Masayoshi Iyoda with The Climate Reality Project Japan, Gosia Rychlik of @ClimateRealityEurope and Angela Johnson, an environmental justice advocate in Memphis Tennessee, United States. They shared with us their #SpotlightOnSolutions and how when we come together we can, and will, make a difference. #24HoursOfReality",NA,NA,NA,-7.29
"8","Climate Reality","climatereality","330999","2022-10-07 17:56:50 EDT",2022-10-07,64610,"Album",177,177,0,669,FALSE,"https://www.instagram.com/p/CjbarJXO6fg/","https://www.instagram.com/p/CjbarJXO6fg/","https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/310676583_635953448135652_2718182212427261378_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=6uUUmHM-gZwAX9v3wxr&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AT-JiLS4ts02HqyyyBa3NZVleQ0XZbr12BsqMkWFshhQxw&oe=6348AB95",NA,"Want to turn every day waste into a climate solution? #24HoursOfReality is here to help! Check out this #SpotlightOnSolutions to learn how you can turn your every day items into activism.",NA,NA,NA,-7.25
"9","Climate Reality","climatereality","330999","2022-10-07 17:20:18 EDT",2022-10-07,62418,"Album",179,178,1,0,FALSE,"https://www.instagram.com/p/CjbWe-qKL_7/","https://www.instagram.com/p/CjbWe-qKL_7/","https://scontent-sea1-1.cdninstagram.com/v/t51.2885-15/310799598_882837099258933_8578465895973576119_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=rj86ZlxULa8AX_zFC5T&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AT-P-F5ObUk-YGdIbMGg-SBkrfGRBy43vZFnMgaLKJN1SQ&oe=63486B91",NA,"Looking for some climate solutions you can grow in your own backyard? Take inspiration from these #SpotlightonSolutions stories and learn how to combat the #climatecrisis! #24HoursofReality",NA,NA,NA,-7.17
"10","Climate Reality","climatereality","330999","2022-10-07 16:29:28 EDT",2022-10-07,59368,"Album",272,270,2,1688,FALSE,"https://www.instagram.com/p/CjbQrMYOQab/","https://www.instagram.com/p/CjbQrMYOQab/","https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/310591160_1472349583233130_5305305291302100745_n.jpg?_nc_cat=102&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=3d0wbqMuNRYAX81t5YA&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AT9j5l6aAi5KysKV-w30vQbBIhGRcOQ35zN4TT8t3t96jw&oe=634986DB",NA,"Policymakers, everyday citizens, and activists are making waves for their homes, their communities, and their states. Take a look at these #SpotlightonSolutions stories to get inspired to take action! #24HoursofReality",NA,NA,NA,-4.72
