psraid,sample,int_date,lang,comp,version,form,qs1,live1,q1a,q1b,q1c,q1d,q1e,q1f,q1g,q1h,q1i,q2a,q2b,q2c,q2d,q2e,q3a,q3b,q3c,q3d,q3e,q3f,eminuse,intmob,home3nw,bbhome1,bbhome2,device1a,smart1,smart2,snsint2,device1b,device1c,device1d,devicehha,devicehhb,devicehhc,devicehhd,q4a,q4b,q4c,q4d,q4e,q4f,q4g,q5,q6a,q6b,q6c,q6d,q6e,q6f,q6g,q6h,q7a,q7b,q7c,q7d,q8,q9,q10a,q10b,q10c,q10d,q10e,q10f,q10g,libusea,libuseb,libusec,libmob,q11a,q11b,q11c,q11d,q11e,q11f,q11g,q11h,reg,oftvote,sex,age,marital,par,kidage1,educ2,emplnw,disa,hisp,race3m1,race3m2,race3m3,race3m4,birth_hisp,inc,party,partyln,ideo,hh1,hh3,ql1a,qc1,fips,usr,cregion,state,density,weight,standwt
100003,1,92916,1,1,1,1, ,4,1,1,1,1,2,1,1,4,1,2,1,1,2,2,1,1,1,1,1,2,1,1,1,2, ,1,1, ,1,1,1,1,1,2,1,0,4,2,3,4,4,4,4,1,2,4,2,2,4,4,2,2,1,4,4,1,2,3,1,1,1,1,1,1,2,1,3,3, ,1,2,2,2,2,2,2,1,1,1,2,78,2,2, ,3,2,2,2,1, , , , ,3,1, ,2,2,2, , ,34029,S,1,34,4,2.23529411764706,.786190279869192
100005,1,92916,1,1,1,2, ,1,1,1,2,1,1,1,2,1,1,1,2,1,2,2,1,2,1,1,1,1,1,2,1,3, ,1, ,8,2,2,2,1,0,1,1,0,2,2,2,4,4,4,2,2,2, ,2,2,1,2,1,2,1,3,8,1,2,2,1,1,1,1,2,8,2,3,3,3, ,1,1,1,1,1,1,8,1,1,1,2,88,6,2, ,6,3,2,2,1, , , , ,7,2, ,3,1, , , ,36061,U,1,36,5,1.02941176470588,.362061313097654
100008,1,92916,1,1,1,2, ,4,3,3,2,3,2,2,2,2,2,3,3,1,3,3,2,1,1,1,1,2,1,1,1,4, ,1, ,1,2,2,2,1,1,0,2,0,2,2,2,2,2,3,2,3,1, ,2,1,1,2,2,1,2,2,4,1,1,3,1,2,1,1,1,1,2,3,3,3, ,2,2,2,2,2,2,2,1,3, ,1,46,6,2, ,3,1,2,2,1, , , , ,4,1, ,3,1, , , ,42039,R,1,42,1,3.02941176470588,1.06549472140167
100015,1,92916,1,1,1,2, ,3,2,1,2,2,1,1,1,1,1,1,3,1,3,1,2,1,1,1,1,1,1,1,1,2, ,1, ,1,2,2,2,1,1,0,1,0,2,1,2,2,2,1,1,2,2, ,1,1,2,2,2,2,1,2,3,1,1,3,1,1,1,1,1,1,2,1,3,3, ,1,1,1,1,1,1,2,1,1,1,2,71,1,2, ,3,3,2,2,1, , , , ,4,2, ,2,2,2, , ,12057,U,3,12,4,2.61764705882353,.920670196162606
100018,1,92916,1,1,1,1, ,3,2,1,4,1,4,1,2,3,2,3,3,1,2,2,1,1,1,1,1,2,2,2, , , ,2, , , ,2,2,2,0,0,0,0,4,2, , ,4,4,4, ,2, ,2,4,4,2,2,2,4,1,4,2,2,4,1,1,1,1,1,1,1,2,2,3, ,1,2,2,2,2,2,2,1,1,1,2,81,6,2, ,4,3,1,2,1, , , , ,2,1, ,2,2,2,1, ,34029,S,1,34,4,4.94117647058823,1.73789430286874
100026,1,92916,1,1,1,2, ,4,2,3,2,2,3,2,2,3,3,3,3,2,3,3,2,1,1,1,1,1,1,2,1,2, ,1, ,2,2,2,2,1,0,1,2,0,2,3,2,3,2,3,3,3,2, ,3,1,2,3,2,2,2,1,4,2,1,3,1,1,1,2,1,1,1,1,3,3, ,1,2,1,1,2,2,2,2,1,3,1,67,1,2, ,3,1,2,2,1, , , , ,9,3,2,3,2,2, , ,18039,S,2,18,3,2.55882352941176,.899980978271312
100028,1,92916,1,1,1,2, ,2,2,1,4,2,1,2,2,2,1,4,4,1,4,3,2,1,1,1,1,1,1,1,1,2, ,1, ,1,1,2,2,1,2,1,1,0,1,2,2,3,2,2,2,2,1,3,1,2,1,1,1,1,1,1,4,1,1,4,1,1,1,1,1,1,2,1,3,3, ,1,2,2,2,2,1,2,1,1,1,2,71,3,2, ,3,3,2,2,1, , , , ,3,2, ,4,4,2, , ,22063,S,3,22,2,2.41176470588235,.848257933543076
100030,1,100116,1,1,1,2, ,3,2,1,1,2,3,2,2,3,3,4,2,1,4,3,1,1,2,1,1,2,1,1,1,2, ,1, ,1,1,2,2,1,4,1,6,1,2,3,2,2,4,3,1,1,2,4,2,2,2,3,2,3,2,1,3,2,1,3,1,1,2,2,1,1,2,1,3,3, ,2,2,2,2,2,2,2,2,1,1,1,60,1,2, ,4,3,2,2,1, , , , ,7,1, ,2,5,5, , ,12033,S,3,12,3,2.94117647058824,1.03446089456473
100037,1,100216,1,1,1,2, ,1,2,4,2,1,2,1,2,1,2,4,2,1,1,2,2,1,1,1,1,1,1,1,1,2, ,1, ,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,2,3,2,2,1,1,4,1,1,2,1,2,4,2,2,2,1,1,1,1,1,1,1,1,3,3, ,1,1,1,1,1,1,2,1,1,5,2,35,3,1,0,4,1,2,2,1, , , , ,3,2, ,4,2,1, , ,26081,S,2,26,3,2.82352941176471,.993082458782137
100039,1,92916,1,1,1,1, ,4,1,1,2,1,1,1,1,2,1,4,2,1,4,4,2,1,1,1,1,2,1,1,1,2, ,1,1, ,1,2,1,1,1,3,2,1,1,1,1,8,8,1,8,2,4,2,1,8,4,4,3,4,3,1,4,1,1,4,1,1,1,1,8,1,2,1,3,3, ,8,1,1,8,8,1,2,8,1,1,2,57,1,2, ,4,1,2,2,9, , , , ,99,4,1,1,2,2, , ,51075,S,3,51,1,2.55882352941176,.899980978271312
