"","X","mergeid","sample","int_date","phase","fcall","attempts","refusal","stimes","ilang","p1version","cregion","state","density","usr","scregion","sstate","susr","igender","irace","llitext1","llitext2","qs1","cpitext1","cpitext2","qa1","qa1a","qb2","qb3","qb4","qa12","qa14a","qa14b","qa14c","qa14d","qa14e","qa15a","qa15b","qb18a","qb18b","q25a","q25b","q25c","q25d","q25f","q25g","q25i","q25k","q25n","q25p","qa26","qa27","qb27","qb28","qb29","qa30","qb30","qb31","oftvote","qb32","qb33","qb33a","cheat","qa36a","qa36b","qa36c","qa36d","qa37a","qa37b","qa37c","qa37d","q40","qb42a","qb42b","qb42c","qb42d","qb46","q50r","q50u","q50y","q50aa","q50cc","q50ee","q50hh","qbx","qe2","qe1","qe3","employ1","employ7","qe11","q51jj","q51ll","q51mm","q51nn","q51pp","q51qq","q51rr","qb52","qb52x","qb53a","qb53b","qb53c","qb54","qb54a","qb55a","qb55b","qa62","qa77","qa77a","qa77b","qa78","qb80","qa126","qa126a","qa126b","qa127","qa128","qa129","qa143","ideoconsist","typogroups","sex","age","educ2","hisp","racecmb","racethn","racethn2","birth_hisp","usborn","marital","citizen","relig","chr","born","attend","income","inchi","reg","party","partyln","partystr","partysum","qb166","qb167","qa168","qa169","ideo","partyideo","hh1","hh3","adults","child","ql1","ql1a","qc1","ll","cp","money2","ckinfo","iphoneuse","hphoneuse","weight"
"1",1,1100009,1,61417,1,170608,4,0,4,1,2,3,13,4,"S",3,13,"S",2,2,1,2,NA,NA,NA,2,1,NA,NA,NA,2,1,1,1,1,1,4,2,NA,NA,2,1,2,1,1,1,2,1,2,NA,1,1,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,1,2,1,2,2,1,2,1,2,NA,NA,NA,NA,NA,2,1,2,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,2,NA,1,1,NA,1,1,2,2,-8,1,1,45,8,2,2,2,2,NA,1,6,NA,13,NA,1,4,7,NA,1,2,NA,1,2,NA,NA,NA,1,5,5,1,NA,1,0,1,NA,NA,1,1,NA,NA,2,2,1.06451612903226
"2",2,1100012,1,60817,1,170608,1,0,1,1,1,2,18,1,"R",2,18,"R",2,4,2,1,NA,NA,NA,1,1,NA,NA,NA,1,2,1,1,1,2,1,4,NA,NA,2,2,1,2,2,2,2,1,1,NA,2,2,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,2,1,2,1,2,2,1,2,1,NA,NA,NA,NA,NA,2,2,2,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,2,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,2,2,NA,2,NA,2,2,4,4,1,2,7,1,54,3,2,1,1,1,NA,1,1,NA,1,NA,1,1,6,NA,1,1,NA,1,1,NA,NA,1,NA,1,1,3,3,3,0,1,NA,NA,1,1,NA,NA,2,2,4
"3",3,1100014,1,60817,1,170608,1,0,1,1,1,1,36,1,"R",1,36,"R",1,2,2,2,NA,NA,NA,1,2,NA,NA,NA,1,2,1,1,2,2,2,3,NA,NA,1,1,1,2,2,1,1,2,1,NA,1,1,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,2,2,2,1,2,2,1,2,1,NA,NA,NA,NA,NA,1,1,1,1,2,2,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,2,NA,1,NA,2,NA,2,1,3,1,2,2,6,2,57,6,2,1,1,1,NA,1,1,NA,1,NA,2,3,6,NA,1,1,NA,1,1,NA,NA,2,NA,3,2,4,4,3,0,1,NA,NA,1,1,NA,NA,2,2,1.61290322580645
"5",5,1100019,1,60817,1,170608,1,0,1,1,1,2,18,3,"U",2,18,"U",2,4,1,2,NA,NA,NA,1,1,NA,NA,NA,1,3,3,2,2,2,2,4,NA,NA,1,2,5,2,2,5,1,1,2,NA,2,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,2,2,2,2,1,2,1,2,1,NA,NA,NA,NA,NA,1,5,1,2,2,5,1,NA,NA,NA,NA,NA,NA,NA,2,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,2,1,NA,2,NA,2,1,2,3,1,7,8,1,63,6,2,1,1,1,NA,1,1,NA,1,NA,2,3,8,NA,1,1,NA,1,1,NA,NA,1,NA,2,1,2,2,2,0,1,NA,NA,1,1,NA,NA,2,2,1.25806451612903
"6",6,1100026,1,60817,1,170608,1,0,1,1,1,1,42,2,"R",1,42,"R",2,2,1,2,NA,NA,NA,2,1,NA,NA,NA,1,1,1,2,2,2,4,3,NA,NA,1,2,2,1,2,1,1,2,1,NA,1,2,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,2,2,1,2,2,2,2,1,1,NA,NA,NA,NA,NA,2,1,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,NA,2,NA,1,1,NA,2,2,1,2,-2,3,1,72,5,2,1,1,1,NA,1,3,NA,1,NA,2,5,4,NA,1,3,9,NA,9,NA,NA,NA,NA,3,3,2,2,2,0,1,NA,NA,1,1,NA,NA,2,2,1.83870967741935
"7",7,1100038,1,60817,1,170608,1,0,1,1,1,3,48,5,"S",3,48,"S",2,2,2,1,NA,NA,NA,1,2,NA,NA,NA,1,9,1,1,2,2,2,3,NA,NA,1,2,2,1,5,2,1,2,1,NA,2,1,NA,NA,NA,9,NA,NA,4,NA,NA,NA,NA,1,2,1,9,9,2,9,1,1,NA,NA,NA,NA,NA,2,5,2,1,1,5,2,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,NA,2,NA,1,2,NA,3,4,1,2,0,4,2,62,5,2,1,1,1,NA,1,1,NA,13,1,1,4,2,NA,1,1,NA,2,1,NA,NA,9,NA,3,2,2,2,2,0,1,NA,NA,1,1,NA,NA,2,2,2.64516129032258
"8",8,1100039,1,61117,1,170608,3,1,3,1,2,3,48,4,"U",3,48,"U",2,2,1,1,NA,NA,NA,1,9,NA,NA,NA,9,9,3,3,3,2,2,3,NA,NA,1,2,1,2,2,1,1,1,2,NA,2,1,NA,NA,NA,9,NA,NA,1,NA,NA,NA,NA,1,2,2,1,1,2,1,2,1,NA,NA,NA,NA,NA,1,5,1,1,2,2,5,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9,NA,NA,1,NA,2,NA,2,1,9,2,2,7,8,1,58,8,1,1,3,3,1,NA,1,NA,2,NA,2,4,9,1,1,1,NA,9,1,NA,NA,1,NA,3,2,4,4,3,0,1,NA,NA,1,1,NA,NA,2,2,1.35483870967742
"9",9,1100044,1,60917,1,170608,2,0,2,1,1,3,5,1,"R",3,5,"R",2,1,1,1,NA,NA,NA,1,2,NA,NA,NA,1,2,1,1,2,2,1,4,NA,NA,1,2,1,2,1,1,1,1,2,NA,2,2,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,2,2,1,1,1,2,1,2,1,NA,NA,NA,NA,NA,1,2,1,2,2,2,1,NA,NA,NA,NA,NA,NA,NA,2,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,1,1,NA,2,NA,2,1,4,2,2,6,8,1,75,6,2,1,1,1,NA,1,1,NA,1,NA,1,2,2,NA,1,3,1,NA,1,NA,NA,1,NA,1,3,2,2,2,0,1,NA,NA,1,1,NA,NA,2,2,1.09677419354839
"10",10,1100048,1,60817,1,170608,1,0,1,1,1,3,48,2,"S",3,48,"S",2,2,1,2,NA,NA,NA,1,1,NA,NA,NA,2,2,1,2,1,2,2,4,NA,NA,2,1,1,2,2,2,1,2,2,NA,2,2,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,2,1,1,1,1,2,1,2,2,NA,NA,NA,NA,NA,1,1,1,2,2,2,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,1,2,NA,2,NA,2,2,3,4,1,4,7,2,78,4,2,1,1,1,NA,1,5,NA,1,NA,1,3,3,NA,1,1,NA,1,1,NA,NA,2,NA,2,1,1,NA,1,0,1,NA,NA,1,1,NA,NA,2,2,1.29032258064516
"13",13,1100061,1,60817,1,170608,1,0,1,1,1,2,29,4,"S",2,29,"S",1,3,1,1,NA,NA,NA,2,1,NA,NA,NA,2,3,1,1,2,1,3,2,NA,NA,2,1,2,2,2,1,1,2,2,NA,2,1,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,1,2,1,2,1,2,2,2,1,NA,NA,NA,NA,NA,2,1,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,NA,2,NA,1,1,NA,1,1,2,1,-2,1,1,62,6,2,1,1,1,NA,1,1,NA,1,NA,2,3,7,NA,1,3,2,NA,2,NA,NA,NA,2,2,3,2,2,2,0,1,NA,NA,1,1,NA,NA,2,2,1.25806451612903
