"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x217874950","x1084370030094139394",2019-01-13 08:42:16,"JimHalton","@MrsSheShe17 So many men wearing denim tights 🙈","Twitter Lite",34,"x1084251301020483584","x31183447","MrsSheShe17",FALSE,FALSE,1,0,,,,,,,,,,,,,,"x31183447","MrsSheShe17","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/NA/status/1084370030094139394","Bristol Titans Krav Maga","Bristol, UK","Krav Maga Instructor, MMA conditioning coach, Security Professional, Krav Maga Classes and fitness instruction in Bristol UK. BKMA.","https://t.co/udxf6j3G1K",FALSE,12800,7630,141,11332,587,2010-11-20 19:49:12,FALSE,"https://t.co/udxf6j3G1K","http://www.bristoltitanskravmaga.co.uk","en","https://pbs.twimg.com/profile_banners/217874950/1465575272","http://abs.twimg.com/images/themes/theme15/bg.png","http://pbs.twimg.com/profile_images/503187492304994305/mPj-wP7q_normal.jpeg"
"x21719281","x1081242855782473728",2019-01-04 17:35:59,"KMWKravMaga","Navy SEAL Master Chief Jason Hayes @dbodbo69 knows what to do to make sure his daughter Emma @kerrimedders stays safe when she goes off to college. He gets her to Krav Maga self-defense training! 
💥
@cbstv... https://t.co/45Iu2WKJBu","Facebook",232,,,,FALSE,FALSE,15,6,,,"facebook.com/KravMagaWorldw…","https://t.co/45Iu2WKJBu","https://www.facebook.com/KravMagaWorldwideInc/videos/2292959860960867/",,,,,,,,,"x886387860588253185 x134925704 x2998401","dbodbo69 kerrimedders cbstv","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/NA/status/1081242855782473728","Krav Maga Worldwide","Worldwide","Krav Maga Worldwide is the largest reality based self-defense organization in the world with over 240 licensed schools and over 800 agencies trained.","http://t.co/EEJSsmGBlh",FALSE,19000,1613,136,1213,216,2009-02-24 02:05:06,FALSE,"http://t.co/EEJSsmGBlh","http://kravmaga.com","en","https://pbs.twimg.com/profile_banners/21719281/1369769535","http://abs.twimg.com/images/themes/theme9/bg.gif","http://pbs.twimg.com/profile_images/561284503646113792/xdrrmhnR_normal.png"
"x36725181","x1069144526453989376",2018-12-02 08:21:33,"KravMagaBristol","Interesting article by Instructor Shaun White, Shaun is a former Royal Marines Officer aand was responcible for training front line tropps - an interesting perspective on training for conflict https://t.co/kkR5CPT1io https://t.co/lPiwmLE2ug","Hootsuite",216,,,,FALSE,FALSE,3,3,,,"ow.ly/F9E530mPxr5","https://t.co/kkR5CPT1io","http://ow.ly/F9E530mPxr5","http://pbs.twimg.com/media/DtZdR9nXcAA9INk.jpg","https://t.co/lPiwmLE2ug","https://twitter.com/KravMagaBristol/status/1069144526453989376/photo/1","photo","http://pbs.twimg.com/media/DtZdR9nXcAA9INk.jpg","https://t.co/lPiwmLE2ug","https://twitter.com/KravMagaBristol/status/1069144526453989376/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/NA/status/1069144526453989376","Krav Maga Bristol","Bristol, England","Official Krav Maga Bristol Page. Krav Maga Bristol is the cities founding Krav Maga School & one of the UK's leading schools since 2004.","http://t.co/swKvvQhdba",FALSE,7708,2672,79,4069,15,2009-04-30 17:52:53,FALSE,"http://t.co/swKvvQhdba","http://www.bristolkravmaga.co.uk","en","https://pbs.twimg.com/profile_banners/36725181/1449338014","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1242918211/_A1D4628_normal.jpg"
"x20793644","x1085234652053413896",2019-01-15 17:57:58,"kravmagafed","https://t.co/atQd35HGFm","Facebook",23,,,,FALSE,FALSE,0,0,,,"facebook.com/permalink.php?…","https://t.co/atQd35HGFm","https://www.facebook.com/permalink.php?story_fbid=10156786727182988&id=109417327987",,,,,,,,,,,"und",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/NA/status/1085234652053413896","Krav Maga Federation","164 West 25th st 3rd fl NYC","Rhon Mizrachi's Krav Maga Federation schools teach the authentic martial art created by Krav Maga founder Imi Lichtenfeld","https://t.co/KF539xJpbz",FALSE,9406,208,74,2055,1,2009-02-13 18:37:54,FALSE,"https://t.co/KF539xJpbz","http://www.kravmagafederation.com","en","https://pbs.twimg.com/profile_banners/20793644/1413817607","http://abs.twimg.com/images/themes/theme14/bg.gif","http://pbs.twimg.com/profile_images/524215007542661120/BLDOkVmT_normal.jpeg"
"x47431987","x1084464950335148033",2019-01-13 14:59:27,"Maga2DaZeen","gnar fucking spazzed on this green faced bust down omg https://t.co/yU9lQGDWlq","Twitter for Android",92,,,,FALSE,TRUE,0,22,,,"twitter.com/lilgnar/status…","https://t.co/yU9lQGDWlq","https://twitter.com/lilgnar/status/1081339239936286720",,,,,,,,,"x822994602","PinchyH1","en",,,,,,,,,,,,,,,,"x1081347964017160192","gnar fucking spazzed on this green faced bust down omg https://t.co/yU9lQGDWlq",2019-01-05 00:33:39,"Twitter for Android",130,22,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/NA/status/1084464950335148033","#THISisTV","EVERYWHERE","MMG -REGGAE ARTIST MAGAZEEN",,FALSE,11786,123,103,20724,245,2009-06-15 20:16:01,FALSE,,,"en","https://pbs.twimg.com/profile_banners/47431987/1516400792","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/958723870613213185/yCGWpncg_normal.jpg"
"x16939324","x1085569546898034689",2019-01-16 16:08:43,"Hiqutipie","“Love will find a way through paths where wolves fear to prey.”❤🖤❤

✒ Lord Byron 🖲 deviantart com https://t.co/X7VXhrKY2O","Twitter Web Client",136,,,,FALSE,TRUE,0,3115,,,,,,"http://pbs.twimg.com/media/DgAMOjRXkAE7Ec2.jpg","https://t.co/X7VXhrKY2O","https://twitter.com/Hipollyti/status/1008819785981939715/photo/1","photo","http://pbs.twimg.com/media/DgAMOjRXkAE7Ec2.jpg","https://t.co/X7VXhrKY2O","https://twitter.com/Hipollyti/status/1008819785981939715/photo/1",,"x919283024000356357","Hipollyti","en",,,,,,,,,,,,,,,,"x1008819785981939715","“Love will find a way through paths where wolves fear to prey.”❤🖤❤

✒ Lord Byron 🖲 deviantart com https://t.co/X7VXhrKY2O",2018-06-18 21:12:34,"Twitter for Android",2348,3115,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/NA/status/1085569546898034689","MAGA ♥B♥B♥ ♓130K","Lauderdale, MS","@Tashaeva @N_E_N_A_Angels @LaurenArren  @Polethf_Angels @MaribellaAngels @Julezpooh @Bella__Angel @ERNESTZorro @HOMEL3ND @SSscoop475 
#MAGA","https://t.co/2glF9TntPs",FALSE,120710,96883,1886,105171,4256,2008-10-23 23:46:50,FALSE,"https://t.co/2glF9TntPs","http://www.youtube.com/user/hiqutipie","en","https://pbs.twimg.com/profile_banners/16939324/1431957161","http://abs.twimg.com/images/themes/theme4/bg.gif","http://pbs.twimg.com/profile_images/3212071244/52340fcb91e6ebb5990e496b8f4cc083_normal.png"
"x314637342","x891855620999188480",2017-07-31 02:58:44,"MagaMGD","Brooklyn baby https://t.co/MIdgWKQfpH on @bloglovin","Bloglovin",51,,,,FALSE,FALSE,3,0,,,"bloglovin.com/blogs/maga-mgd…","https://t.co/MIdgWKQfpH","https://www.bloglovin.com/blogs/maga-mgd-blog-11232317/brooklyn-baby-5781920723",,,,,,,,,"x983831766665490432","bloglovin","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/NA/status/891855620999188480","Maga MGD","Moscow","Player. Lover. Taveller. Blogger. (c)
https://t.co/lhqoIH5em6","http://t.co/4rCjoaVLqY",FALSE,2103,175,20,11958,456,2011-06-10 15:36:16,FALSE,"http://t.co/4rCjoaVLqY","http://www.magamgd.com","ru","https://pbs.twimg.com/profile_banners/314637342/1434981441","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/612982531579744256/Z4_onolE_normal.jpg"
"x2307195656","x1034246685164273665",2018-08-28 01:09:59,"DiagonalDoug","Tomorrow is Primary Day in Arizona. If you live in Arizona, make sure to vote for @kelliwardaz in the Senate race tomorrow! She is a @realDonaldTrump supporter and will support building a wall!!
#BuildtheWall #AZSEN https://t.co/8sa8hasKod","Twitter for Android",140,,,,FALSE,TRUE,0,703,,,,,,,,,,,,,,"x766393840634884097 x359403242","davis1988will kelliwardaz","en",,,,,,,,,,,,,,,,"x1034241590045433856","Tomorrow is Primary Day in Arizona. If you live in Arizona, make sure to vote for @kelliwardaz in the Senate race tomorrow! She is a @realDonaldTrump supporter and will support building a wall!!
#BuildtheWall #AZSEN https://t.co/8sa8hasKod",2018-08-28 00:49:45,"Twitter Lite",900,703,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/NA/status/1034246685164273665","MR MAGA 🇺🇸","USA","WARNING: No Participation Trophies Given / Follow Me, I'll Show You The Truth / CEO By Day, Political Patriot By Night #2A #IPAC #Veteran #MAGA 🇺🇸 #OpPedoHunt","https://t.co/UQAHnlrBCi",FALSE,65084,45562,203,112509,86727,2014-01-23 20:32:02,FALSE,"https://t.co/UQAHnlrBCi","http://wrongthink.net/DiagonalDoug","en","https://pbs.twimg.com/profile_banners/2307195656/1507240198","http://abs.twimg.com/images/themes/theme9/bg.gif","http://pbs.twimg.com/profile_images/951899267672788992/aScXS-Ks_normal.jpg"
"x2292743989","x1085695089790328832",2019-01-17 00:27:35,"HiQTPiii","MY BLOOD IS BOILING...RED WHITE BLUE...YOURS?

https://t.co/FSgsSahrE1 2013 54 Senate Dems including  SCHUMER voted to pass bill providing $46B to build border barrier

2.PELOSI and her LIB POSSE passed bill to FOREIGN GOV for $54B

WHILE AMERICAN CITIZENS SUFFER AT THEIR HANDS! https://t.co/7PO3lmCz4k","Twitter for Android",140,,,,FALSE,TRUE,0,1235,,,"1.In","https://t.co/FSgsSahrE1","http://1.In",,,,,,,,,"x894450550032519170","gaye_gallops","en",,,,,,,,,,,,,,,,"x1083052668304674816","MY BLOOD IS BOILING...RED WHITE BLUE...YOURS?

https://t.co/FSgsSahrE1 2013 54 Senate Dems including  SCHUMER voted to pass bill providing $46B to build border barrier

2.PELOSI and her LIB POSSE passed bill to FOREIGN GOV for $54B

WHILE AMERICAN CITIZENS SUFFER AT THEIR HANDS! https://t.co/7PO3lmCz4k",2019-01-09 17:27:32,"Twitter for iPhone",1333,1235,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/NA/status/1085695089790328832","#MAGA ♥B♥B♥  ♓ #30K","Lauderdale,MS","#GlobalismisDEAD @Hiqutipie #MAGA","https://t.co/2glF9TntPs",FALSE,30094,27419,101,63191,1239,2014-01-15 13:53:16,FALSE,"https://t.co/2glF9TntPs","http://www.youtube.com/user/hiqutipie","en","https://pbs.twimg.com/profile_banners/2292743989/1431956943","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/423455988205629440/JhPqjihH_normal.jpeg"
"x705442898188210177","x1085677940719812610",2019-01-16 23:19:26,"Sheep2Wolves","@Roku Not a fan of Infowars but this is horrible. Assuming you'll delete all channels that engage in rumor-mongering and traffic in unproven theories?

Nope? Then see ya. 👋👋","Twitter for Android",167,"x1085343064418267136","x20282100","Roku",FALSE,FALSE,6,0,,,,,,,,,,,,,,"x20282100","Roku","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/NA/status/1085677940719812610","MAGA RƎVO⅃UTION 🇺🇸","S̶t̶.̶ ̶P̶e̶t̶e̶r̶s̶b̶u̶r̶g̶😂","Voted Obama 2x. Got Change, lost Hope. #Veteran USN and CIA. Now I'm a #Christian #2A Trump bot. A rich America can be benevolent. #MAGA",,FALSE,14841,6901,124,22384,125478,2016-03-03 17:21:08,FALSE,,,"en","https://pbs.twimg.com/profile_banners/705442898188210177/1524609613","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1050864848723038208/OO3XHmHU_normal.jpg"
