ID,INCOME,RACE,SEX,SELF_ESTEEM
2,4000,3,2,16
5,2200,3,1,23
6,1400,3,1,27
8,200,3,2,23
10,0,3,2,19
12,2021,3,2,30
13,2000,3,1,25
16,8200,3,2,25
17,10000,3,1,24
18,4500,3,1,28
19,4000,3,2,28
20,1200,3,2,21
24,2100,3,1,28
25,322,3,2,19
27,2165,3,2,23
28,0,3,2,19
29,6760,3,2,30
30,4811,3,2,21
34,640,3,1,26
37,7700,3,2,20
40,400,3,1,18
45,3200,3,1,23
47,9000,3,1,20
48,6000,3,1,21
49,4000,3,2,26
50,6969,3,2,20
52,7000,3,1,28
54,10000,3,1,20
57,3230,3,2,27
58,7000,3,2,30
59,4000,3,1,29
63,4000,3,1,22
67,4000,3,1,29
72,1800,3,2,24
73,600,3,1,26
74,2600,3,2,23
78,700,3,2,24
79,1300,3,1,26
82,3300,2,1,25
85,1467,2,1,21
86,500,2,2,24
88,4000,2,1,30
89,3000,2,2,25
90,1800,3,1,23
94,2200,3,1,24
95,3000,3,2,20
96,3000,3,2,19
97,8000,3,2,19
98,3900,3,2,23
99,8000,3,2,24
101,5300,3,1,27
103,2000,3,1,23
104,7000,3,2,29
105,12000,3,2,19
106,2800,3,1,20
108,2800,3,1,23
111,5300,3,2,26
114,15500,3,1,27
115,3284,3,2,30
117,8800,3,1,30
119,2500,3,1,27
124,1300,3,2,18
125,4000,3,1,28
126,400,3,1,23
127,400,3,1,15
128,7800,3,2,29
129,400,3,1,30
130,0,3,2,16
136,0,3,2,28
140,1000,3,2,30
142,7500,3,1,23
150,4300,3,1,30
151,7000,3,2,23
158,5000,3,2,28
159,3700,3,2,27
160,3050,3,2,24
164,5000,3,2,21
165,2000,3,2,19
167,2000,3,2,27
172,0,3,2,9
174,2000,1,2,20
176,1500,3,2,23
177,900,3,1,26
178,7400,3,1,24
179,6600,3,2,27
180,0,3,2,30
183,6697,3,2,20
184,1200,3,2,23
186,3752,3,2,19
188,3600,3,2,19
189,200,3,1,24
193,2600,3,1,23
195,2000,3,1,27
199,5000,3,1,18
200,8000,3,2,15
201,8300,3,1,30
202,4000,3,1,27
203,1506,1,2,21
205,960,1,2,23
208,0,3,2,20
209,5000,3,1,29
212,2000,3,1,26
215,1500,3,1,17
216,901,3,2,21
